cluster,hhid,extid
45,45016,45016-06
84,84015,84015-03
84,84015,84015-04
84,84015,84015-05
39,39016,39016-04
39,39016,39016-05
20,20018,20018-04
20,20018,20018-05
02,02003,02003-05
02,02003,02003-06
69,69010,69010-05
69,69010,69010-06
69,69010,69010-07
85,85013,85013-04
85,85013,85013-05
85,85013,85013-06
49,49107,49107-04
82,82013,82013-06
82,82013,82013-07
82,82013,82013-08
58,58018,58018-02
22,22023,22023-07
22,22023,22023-08
90,90196,90196-04
90,90196,90196-05
83,83057,83057-07
83,83057,83057-08
83,83057,83057-09
50,50053,50053-03
50,50053,50053-04
50,50053,50053-05
79,79027,79027-04
53,53047,53047-04
53,53047,53047-05
53,53047,53047-06
53,53047,53047-07
64,64017,64017-05
64,64017,64017-06
64,64017,64017-07
64,64017,64017-08
64,64017,64017-09
30,30081,30081-02
30,30081,30081-03
31,31016,31016-04
31,31016,31016-05
08,08068,08068-02
08,08068,08068-03
41,41022,41022-02
41,41022,41022-03
24,24060,24060-03
83,83096,83096-05
83,83096,83096-06
57,57013,57013-07
57,57013,57013-08
57,57013,57013-09
21,21014,21014-05
21,21014,21014-07
21,21014,21014-08
21,21014,21014-09
93,93014,93014-05
93,93014,93014-06
93,93014,93014-07
93,93014,93014-08
33,33085,33085-03
33,33085,33085-04
36,36019,36019-02
36,36019,36019-03
36,36019,36019-04
45,45015,45015-08
45,45015,45015-09
45,45015,45015-10
56,56097,56097-02
74,74002,74002-06
74,74002,74002-07
74,74002,74002-08
38,38017,38017-04
68,68014,68014-03
09,09005,09005-03
09,09005,09005-04
30,30113,30113-03
30,30113,30113-07
30,30113,30113-08
30,30113,30113-09
29,29043,29043-03
74,74057,74057-03
74,74057,74057-04
74,74057,74057-06
37,37058,37058-04
37,37058,37058-05
37,37058,37058-06
37,37058,37058-07
39,39015,39015-08
39,39015,39015-09
39,39015,39015-10
96,96016,96016-05
62,62047,62047-07
62,62047,62047-08
62,62047,62047-09
62,62047,62047-10
62,62047,62047-11
14,14020,14020-05
14,14020,14020-06
14,14020,14020-07
45,45014,45014-03
45,45014,45014-04
45,45014,45014-05
54,54051,54051-03
29,29073,29073-02
82,82014,82014-08
82,82014,82014-09
82,82014,82014-10
26,26020,26020-07
26,26020,26020-08
53,53046,53046-05
53,53046,53046-06
53,53046,53046-07
53,53046,53046-08
11,11014,11014-04
54,54018,54018-03
54,54018,54018-04
54,54018,54018-05
18,18048,18048-04
18,18048,18048-05
87,87010,87010-04
87,87010,87010-05
87,87010,87010-06
85,85048,85048-06
85,85048,85048-07
40,40027,40027-06
67,67049,67049-03
41,41021,41021-03
70,70064,70064-03
29,29017,29017-03
29,29017,29017-04
29,29017,29017-05
12,12087,12087-05
12,12087,12087-06
12,12087,12087-07
12,12087,12087-08
22,22024,22024-04
22,22024,22024-05
29,29072,29072-03
39,39014,39014-03
39,39014,39014-04
43,43093,43093-05
43,43093,43093-06
46,46019,46019-03
46,46019,46019-04
46,46019,46019-05
46,46019,46019-06
80,80016,80016-05
80,80016,80016-06
70,70014,70014-06
70,70014,70014-07
70,70014,70014-08
70,70014,70014-09
15,15016,15016-05
53,53013,53013-07
31,31014,31014-06
31,31014,31014-08
15,15064,15064-03
15,15064,15064-05
15,15064,15064-06
15,15064,15064-07
73,73072,73072-03
73,73072,73072-04
73,73072,73072-05
95,95116,95116-05
95,95116,95116-07
95,95116,95116-09
54,54017,54017-03
54,54017,54017-04
12,12100,12100-02
50,50089,50089-04
50,50089,50089-05
50,50089,50089-06
56,56133,56133-02
28,28098,28098-05
28,28098,28098-06
44,44017,44017-02
91,91015,91015-06
91,91015,91015-07
91,91015,91015-08
05,05017,05017-03
05,05017,05017-04
